condition1,condition2,trialNo,response_m,response_r,response_l,p_resp_s,p_meanRT_s,p_resp_rf,p_meanRT_rf,c_resp_s,c_meanRT_s,c_resp_rf,c_meanRT_rf,may_resp_s,may_meanRT_s,may_resp_rf,may_meanRT_rf,might_resp_s,might_meanRT_s,might_resp_rf,might_meanRT_rf,o_resp_s,o_meanRT_s,o_resp_rf,o_meanRT_rf,s_resp_s,s_meanRT_s,s_resp_rf,s_meanRT_rf
flouting,scenario3,160,,,,,,,,0.2,1231.4285714285713,0.16129032258064516,2548.3225806451615,0.1702127659574468,1162.872340425532,0.2,2055.0,0.09523809523809523,1084.6190476190477,0.07142857142857142,1975.5,0.04878048780487805,1029.3658536585365,0.0,3693.375,0.04878048780487805,1109.9756097560976,0.058823529411764705,2563.764705882353
impossible,scenario2,161,,,,,,,,0.10256410256410256,998.5897435897435,0.10526315789473684,1788.6842105263158,0.022727272727272728,1002.2727272727273,0.1111111111111111,1908.111111111111,0.10526315789473684,991.8157894736842,0.125,2320.5625,0.041666666666666664,938.0208333333334,0.06666666666666667,3513.5333333333333,0.06382978723404255,960.6808510638298,0.0,2483.375
ordinary,scenario2,162,,,,,,,,0.9473684210526315,905.2631578947369,0.8666666666666667,2112.2,0.9607843137254902,962.3137254901961,1.0,1902.875,0.9512195121951219,900.0,1.0,2130.0,0.9183673469387755,896.8367346938776,1.0,2428.0,0.875,895.5,0.8,2943.4
impossible,scenario2,163,,,,,,,,0.4,1059.2,0.0967741935483871,2779.483870967742,0.2,1104.8,0.058823529411764705,1996.0,0.15789473684210525,1045.4736842105262,0.0,2279.318181818182,0.11904761904761904,941.0714285714286,0.045454545454545456,2429.7272727272725,0.06382978723404255,1010.468085106383,0.0,2172.4666666666667
ordinary,scenario2,164,,,,,,,,0.918918918918919,975.4054054054054,0.7333333333333333,2573.866666666667,0.9583333333333334,980.2708333333334,0.7777777777777778,1912.888888888889,0.8536585365853658,999.0243902439024,0.8333333333333334,2398.0,0.86,923.48,0.7058823529411765,2510.8823529411766,0.9111111111111111,957.7111111111111,0.9166666666666666,3094.3333333333335
immoral,scenario2,165,,,,,,,,0.4857142857142857,1070.1714285714286,0.2608695652173913,2359.782608695652,0.2765957446808511,999.063829787234,0.2857142857142857,2610.714285714286,0.15,1011.025,0.06666666666666667,1979.6666666666667,0.02,904.78,0.0,2548.0714285714284,0.020833333333333332,933.6458333333334,0.0,1977.625
immoral,scenario2,166,,,,,,,,0.3055555555555556,974.9722222222222,0.45,2513.7,0.2,972.4888888888889,0.625,2341.25,0.1,904.25,0.0,2358.222222222222,0.04081632653061224,850.265306122449,0.08333333333333333,2140.4166666666665,0.0,920.1086956521739,0.0,3271.2
immoral,scenario2,167,,,,,,,,0.325,1012.95,0.2631578947368421,2193.684210526316,0.24444444444444444,1004.0888888888888,0.4444444444444444,2413.6666666666665,0.0,859.1315789473684,0.0,3931.2,0.02,840.1,0.0,2375.6666666666665,0.041666666666666664,882.0208333333334,0.0,2202.5
flouting,scenario2,168,,,,,,,,0.6,1115.1142857142856,0.37037037037037035,2058.074074074074,0.391304347826087,1136.5,0.15384615384615385,2001.7692307692307,0.2894736842105263,1058.921052631579,0.05263157894736842,1851.3157894736842,0.08888888888888889,1065.7333333333333,0.0,2579.4117647058824,0.06521739130434782,1017.304347826087,0.09090909090909091,2256.090909090909
ordinary,scenario2,169,,,,,,,,0.8947368421052632,912.7368421052631,0.9285714285714286,1993.5714285714287,0.9782608695652174,932.0652173913044,0.5,1833.25,0.9285714285714286,1014.3571428571429,1.0,2867.375,0.88,906.22,0.8571428571428571,2620.285714285714,0.9183673469387755,933.7551020408164,1.0,3286.5
impossible,scenario2,170,,,,,,,,0.05555555555555555,1030.7777777777778,0.047619047619047616,2447.190476190476,0.12244897959183673,1049.2448979591836,0.0,2040.5555555555557,0.0,976.4736842105264,0.0,1886.642857142857,0.0851063829787234,982.7659574468086,0.0,2709.6153846153848,0.022222222222222223,1030.6444444444444,0.0,2816.1428571428573
